model	metric	value_original	value_criteria	red_perc	red_abs
BPR	averagepopularity@10	1146.3572	1173.1199	-2.3346	-26.7627
CFKG	averagepopularity@10	1115.4498	1395.6098	-25.1163	-280.16
CKE	averagepopularity@10	1165.2413	1333.5153	-14.4411	-168.274
DGCF	averagepopularity@10	1172.6874	1807.9828	-54.1743	-635.2954
DMF	averagepopularity@10	1379.7292	1379.7292	0	0
KGCN	averagepopularity@10	1188.9582	1455.5651	-22.4236	-266.6069
KGNNLS	averagepopularity@10	1188.8981	1455.58	-22.431	-266.6819
LightGCN	averagepopularity@10	1088.741	1684.4149	-54.7122	-595.6739
LINE	averagepopularity@10	979.498	979.498	0	0
MultiDAE	averagepopularity@10	1137.4597	1394.0944	-22.5621	-256.6347
NGCF	averagepopularity@10	1201.8831	1401.4325	-16.6031	-199.5494
BPR	giniindex@10	0.8839	0.8907	-0.7693	-0.0068
CFKG	giniindex@10	0.8822	0.9443	-7.0392	-0.0621
CKE	giniindex@10	0.8894	0.9315	-4.7335	-0.0421
DGCF	giniindex@10	0.8992	0.9845	-9.4862	-0.0853
DMF	giniindex@10	0.9443	0.9443	0	0
KGCN	giniindex@10	0.8992	0.9502	-5.6717	-0.051
KGNNLS	giniindex@10	0.8992	0.9502	-5.6717	-0.051
LightGCN	giniindex@10	0.8759	0.9801	-11.8963	-0.1042
LINE	giniindex@10	0.8904	0.8904	0	0
MultiDAE	giniindex@10	0.875	0.9424	-7.7029	-0.0674
NGCF	giniindex@10	0.9079	0.9484	-4.4608	-0.0405
BPR	ndcg@10	0.2554	0.2558	-0.1566	-0.0004
CFKG	ndcg@10	0.2402	0.221	7.9933	0.0192
CKE	ndcg@10	0.2534	0.244	3.7096	0.0094
DGCF	ndcg@10	0.2613	0.1782	31.8025	0.0831
DMF	ndcg@10	0.2289	0.2289	0	0
KGCN	ndcg@10	0.232	0.2069	10.819	0.0251
KGNNLS	ndcg@10	0.2319	0.207	10.737	0.0249
LightGCN	ndcg@10	0.2682	0.1885	29.717	0.0797
LINE	ndcg@10	0.2277	0.2277	0	0
MultiDAE	ndcg@10	0.2633	0.2174	17.433	0.0459
NGCF	ndcg@10	0.2539	0.2378	6.3411	0.0161
BPR	recall@10	0.1635	0.1632	0.1835	0.0003
CFKG	recall@10	0.1526	0.1303	14.6134	0.0223
CKE	recall@10	0.1593	0.1494	6.2147	0.0099
DGCF	recall@10	0.1656	0.1022	38.285	0.0634
DMF	recall@10	0.1432	0.1432	0	0
KGCN	recall@10	0.1422	0.1197	15.8228	0.0225
KGNNLS	recall@10	0.1421	0.1197	15.7635	0.0224
LightGCN	recall@10	0.173	0.1092	36.8786	0.0638
LINE	recall@10	0.1451	0.1451	0	0
MultiDAE	recall@10	0.1799	0.1349	25.0139	0.045
NGCF	recall@10	0.1586	0.1408	11.2232	0.0178
