model	metric	value_original	value_criteria	red_perc	red_abs
BPR	averagepopularity@10	1146.3572	1146.3572	0	0
CFKG	averagepopularity@10	1115.4498	1361.1447	-22.0265	-245.6949
CKE	averagepopularity@10	1165.2413	1333.5153	-14.4411	-168.274
DGCF	averagepopularity@10	1172.6874	1807.9008	-54.1673	-635.2134
DMF	averagepopularity@10	1379.7292	1379.7292	0	0
KGCN	averagepopularity@10	1188.9582	1193.5298	-0.3845	-4.5716
KGNNLS	averagepopularity@10	1188.8981	1193.7263	-0.4061	-4.8282
LightGCN	averagepopularity@10	1088.741	1629.6349	-49.6807	-540.8939
LINE	averagepopularity@10	979.498	979.498	0	0
MultiDAE	averagepopularity@10	1137.4597	1261.7868	-10.9302	-124.3271
NGCF	averagepopularity@10	1201.8831	1401.4325	-16.6031	-199.5494
BPR	giniindex@10	0.8839	0.8839	0	0
CFKG	giniindex@10	0.8822	0.9401	-6.5631	-0.0579
CKE	giniindex@10	0.8894	0.9315	-4.7335	-0.0421
DGCF	giniindex@10	0.8992	0.9845	-9.4862	-0.0853
DMF	giniindex@10	0.9443	0.9443	0	0
KGCN	giniindex@10	0.8992	0.9012	-0.2224	-0.002
KGNNLS	giniindex@10	0.8992	0.9013	-0.2335	-0.0021
LightGCN	giniindex@10	0.8759	0.9748	-11.2912	-0.0989
LINE	giniindex@10	0.8904	0.8904	0	0
MultiDAE	giniindex@10	0.875	0.9101	-4.0114	-0.0351
NGCF	giniindex@10	0.9079	0.9484	-4.4608	-0.0405
BPR	ndcg@10	0.2554	0.2554	0	0
CFKG	ndcg@10	0.2402	0.2209	8.035	0.0193
CKE	ndcg@10	0.2534	0.244	3.7096	0.0094
DGCF	ndcg@10	0.2613	0.1781	31.8408	0.0832
DMF	ndcg@10	0.2289	0.2289	0	0
KGCN	ndcg@10	0.232	0.2333	-0.5603	-0.0013
KGNNLS	ndcg@10	0.2319	0.2334	-0.6468	-0.0015
LightGCN	ndcg@10	0.2682	0.2002	25.3542	0.068
LINE	ndcg@10	0.2277	0.2277	0	0
MultiDAE	ndcg@10	0.2633	0.247	6.1907	0.0163
NGCF	ndcg@10	0.2539	0.2378	6.3411	0.0161
BPR	recall@10	0.1635	0.1635	0	0
CFKG	recall@10	0.1526	0.1301	14.7444	0.0225
CKE	recall@10	0.1593	0.1494	6.2147	0.0099
DGCF	recall@10	0.1656	0.1021	38.3454	0.0635
DMF	recall@10	0.1432	0.1432	0	0
KGCN	recall@10	0.1422	0.1422	0	0
KGNNLS	recall@10	0.1421	0.1423	-0.1407	-0.0002
LightGCN	recall@10	0.173	0.1161	32.8902	0.0569
LINE	recall@10	0.1451	0.1451	0	0
MultiDAE	recall@10	0.1799	0.1619	10.0056	0.018
NGCF	recall@10	0.1586	0.1408	11.2232	0.0178
