model	metric	value_original	value_criteria	red_perc	red_abs
BPR	averagepopularity@10	1146.3572	1146.3572	0	0
CFKG	averagepopularity@10	1115.4498	1361.1447	-22.0265	-245.6949
CKE	averagepopularity@10	1165.2413	1320.1912	-13.2977	-154.9499
DGCF	averagepopularity@10	1172.6874	1760.7243	-50.1444	-588.0369
DMF	averagepopularity@10	1379.7292	1379.7292	0	0
KGCN	averagepopularity@10	1188.9582	1187.2098	0.1471	1.7484
KGNNLS	averagepopularity@10	1188.8981	1401.0945	-17.8482	-212.1964
LightGCN	averagepopularity@10	1088.741	1649.9548	-51.547	-561.2138
LINE	averagepopularity@10	979.498	979.498	0	0
MultiDAE	averagepopularity@10	1137.4597	1297.2825	-14.0509	-159.8228
NGCF	averagepopularity@10	1201.8831	1407.3654	-17.0967	-205.4823
BPR	giniindex@10	0.8839	0.8839	0	0
CFKG	giniindex@10	0.8822	0.9401	-6.5631	-0.0579
CKE	giniindex@10	0.8894	0.9266	-4.1826	-0.0372
DGCF	giniindex@10	0.8992	0.982	-9.2082	-0.0828
DMF	giniindex@10	0.9443	0.9443	0	0
KGCN	giniindex@10	0.8992	0.8984	0.089	0.0008
KGNNLS	giniindex@10	0.8992	0.945	-5.0934	-0.0458
LightGCN	giniindex@10	0.8759	0.9767	-11.5082	-0.1008
LINE	giniindex@10	0.8904	0.8904	0	0
MultiDAE	giniindex@10	0.875	0.9204	-5.1886	-0.0454
NGCF	giniindex@10	0.9079	0.9481	-4.4278	-0.0402
BPR	ndcg@10	0.2554	0.2554	0	0
CFKG	ndcg@10	0.2402	0.2209	8.035	0.0193
CKE	ndcg@10	0.2534	0.2482	2.0521	0.0052
DGCF	ndcg@10	0.2613	0.1857	28.9323	0.0756
DMF	ndcg@10	0.2289	0.2289	0	0
KGCN	ndcg@10	0.232	0.2328	-0.3448	-0.0008
KGNNLS	ndcg@10	0.2319	0.2115	8.7969	0.0204
LightGCN	ndcg@10	0.2682	0.1955	27.1066	0.0727
LINE	ndcg@10	0.2277	0.2277	0	0
MultiDAE	ndcg@10	0.2633	0.2372	9.9126	0.0261
NGCF	ndcg@10	0.2539	0.2401	5.4352	0.0138
BPR	recall@10	0.1635	0.1635	0	0
CFKG	recall@10	0.1526	0.1301	14.7444	0.0225
CKE	recall@10	0.1593	0.1517	4.7709	0.0076
DGCF	recall@10	0.1656	0.108	34.7826	0.0576
DMF	recall@10	0.1432	0.1432	0	0
KGCN	recall@10	0.1422	0.1422	0	0
KGNNLS	recall@10	0.1421	0.1232	13.3005	0.0189
LightGCN	recall@10	0.173	0.1126	34.9133	0.0604
LINE	recall@10	0.1451	0.1451	0	0
MultiDAE	recall@10	0.1799	0.1531	14.8972	0.0268
NGCF	recall@10	0.1586	0.1438	9.3317	0.0148
