model	metric	value_original	value_criteria	red_perc	red_abs
BPR	averagepopularity@10	1146.3572	1146.3572	0	0
CFKG	averagepopularity@10	1115.4498	1338.642	-20.0092	-223.1922
CKE	averagepopularity@10	1165.2413	1320.1912	-13.2977	-154.9499
DGCF	averagepopularity@10	1172.6874	1760.6621	-50.1391	-587.9747
DMF	averagepopularity@10	1379.7292	1379.7292	0	0
KGCN	averagepopularity@10	1188.9582	1187.2098	0.1471	1.7484
KGNNLS	averagepopularity@10	1188.8981	1187.2158	0.1415	1.6823
LightGCN	averagepopularity@10	1088.741	1585.7381	-45.6488	-496.9971
LINE	averagepopularity@10	979.498	979.498	0	0
MultiDAE	averagepopularity@10	1137.4597	1238.6498	-8.8961	-101.1901
NGCF	averagepopularity@10	1201.8831	1407.3654	-17.0967	-205.4823
BPR	giniindex@10	0.8839	0.8839	0	0
CFKG	giniindex@10	0.8822	0.9367	-6.1777	-0.0545
CKE	giniindex@10	0.8894	0.9266	-4.1826	-0.0372
DGCF	giniindex@10	0.8992	0.982	-9.2082	-0.0828
DMF	giniindex@10	0.9443	0.9443	0	0
KGCN	giniindex@10	0.8992	0.8984	0.089	0.0008
KGNNLS	giniindex@10	0.8992	0.8983	0.1001	0.0009
LightGCN	giniindex@10	0.8759	0.9709	-10.846	-0.095
LINE	giniindex@10	0.8904	0.8904	0	0
MultiDAE	giniindex@10	0.875	0.9054	-3.4743	-0.0304
NGCF	giniindex@10	0.9079	0.9481	-4.4278	-0.0402
BPR	ndcg@10	0.2554	0.2554	0	0
CFKG	ndcg@10	0.2402	0.2245	6.5362	0.0157
CKE	ndcg@10	0.2534	0.2482	2.0521	0.0052
DGCF	ndcg@10	0.2613	0.1857	28.9323	0.0756
DMF	ndcg@10	0.2289	0.2289	0	0
KGCN	ndcg@10	0.232	0.2328	-0.3448	-0.0008
KGNNLS	ndcg@10	0.2319	0.2327	-0.345	-0.0008
LightGCN	ndcg@10	0.2682	0.2064	23.0425	0.0618
LINE	ndcg@10	0.2277	0.2277	0	0
MultiDAE	ndcg@10	0.2633	0.2463	6.4565	0.017
NGCF	ndcg@10	0.2539	0.2401	5.4352	0.0138
BPR	recall@10	0.1635	0.1635	0	0
CFKG	recall@10	0.1526	0.1344	11.9266	0.0182
CKE	recall@10	0.1593	0.1517	4.7709	0.0076
DGCF	recall@10	0.1656	0.108	34.7826	0.0576
DMF	recall@10	0.1432	0.1432	0	0
KGCN	recall@10	0.1422	0.1422	0	0
KGNNLS	recall@10	0.1421	0.1421	0	0
LightGCN	recall@10	0.173	0.1204	30.4046	0.0526
LINE	recall@10	0.1451	0.1451	0	0
MultiDAE	recall@10	0.1799	0.1624	9.7276	0.0175
NGCF	recall@10	0.1586	0.1438	9.3317	0.0148
